post_id,title,category,score,num_comments,author,collected_at
47669604,"Astronauts Dedicate Moon Crater to Carroll Wiseman, Wife of NASA Commander",Science,5,0.0,shpat,2026-04-08 03:51:14
47681112,Show HN: An interactive map of Tolkien's Middle-earth,Entertainment,115,22.0,frasermarlow,2026-04-08 03:51:04
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),Entertainment,715,218.0,sam-bee,2026-04-08 03:51:04
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,Entertainment,137,20.0,MediaSquirrel,2026-04-08 03:51:04
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,Entertainment,77,29.0,1659447091,2026-04-08 03:51:05
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,Entertainment,93,17.0,Sean-Der,2026-04-08 03:51:05
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,Entertainment,23,10.0,ashish004,2026-04-08 03:51:05
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",Entertainment,229,190.0,Zm44,2026-04-08 03:51:05
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,Entertainment,453,194.0,MattHart88,2026-04-08 03:51:06
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,Entertainment,107,31.0,noone_youknow,2026-04-08 03:51:06
47637828,Show HN: Tusk for macOS and Gnome,Entertainment,114,42.0,factorialboy,2026-04-08 03:51:06
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,Entertainment,31,27.0,fsloth,2026-04-08 03:51:06
47655408,Show HN: I built a tiny LLM to demystify how language models work,Entertainment,892,134.0,armanified,2026-04-08 03:51:06
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,Entertainment,63,12.0,4RH1T3CT0R,2026-04-08 03:51:07
47677556,Show HN: A (marginally) useful x86-64 ELF executable in 298 bytes,Entertainment,10,0.0,meribold,2026-04-08 03:51:07
47679573,Apple Is Reportedly Facing a 'Massive Dilemma' with the MacBook Neo,Entertainment,24,21.0,thm,2026-04-08 03:51:07
47660853,Book review: There Is No Antimemetics Division,Entertainment,278,222.0,ibobev,2026-04-08 03:51:07
47674662,Show HN: A social feed with no algo where communities decide what gets seen,Entertainment,6,5.0,smnkgv,2026-04-08 03:51:07
47655392,Show HN: I made a YouTube search form with advanced filters,Entertainment,318,201.0,nevernothing,2026-04-08 03:51:07
47662429,Show HN: Weird Clocks,Entertainment,48,16.0,vunderba,2026-04-08 03:51:08
47675709,Show HN: The King James Bible deserved a better website,Entertainment,7,3.0,L23234,2026-04-08 03:51:08
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",Entertainment,98,26.0,mohshomis,2026-04-08 03:51:08
47652322,Music for Programming,Entertainment,347,172.0,merusame,2026-04-08 03:51:08
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,Entertainment,174,30.0,laszlokorte,2026-04-08 03:51:08
47646504,Show HN: OsintRadar – Curated directory for osint tools,Entertainment,83,9.0,lexalizer,2026-04-08 03:51:08
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,Entertainment,118,54.0,waveywaves,2026-04-08 03:51:09
47682276,US and Iran agree to provisional ceasefire,Other,295,777.0,g-b-r,2026-04-08 03:51:03
47676509,Lunar Flyby,Other,464,112.0,kipi,2026-04-08 03:51:03
47679258,System Card: Claude Mythos Preview [pdf],Other,578,420.0,be7a,2026-04-08 03:51:03
47622436,Slightly safer vibecoding by adopting old hacker habits,Other,20,3.0,transpute,2026-04-08 03:51:03
47684514,Protect Your Shed,Other,13,1.0,baely,2026-04-08 03:51:03
47650887,How to get better at guitar,Other,220,110.0,jwworth,2026-04-08 03:51:04
47680404,S3 Files,Other,231,65.0,werner,2026-04-08 03:51:04
47678573,Cambodia unveils statue to honour famous landmine-sniffing rat,Other,314,66.0,speckx,2026-04-08 03:51:04
47684506,LLM scraper bots are overloading acme.com's HTTPS server,Other,10,2.0,mjyut,2026-04-08 03:51:04
47657268,A truck driver spent 20 years making a scale model of every building in NYC,Other,274,45.0,1659447091,2026-04-08 03:51:04
47637665,The Clock,Other,30,2.0,senko,2026-04-08 03:51:04
47682719,Xilem – An experimental Rust native UI framework,Other,45,9.0,Levitating,2026-04-08 03:51:04
47683376,JSIR: A High-Level IR for JavaScript,Other,23,6.0,nnx,2026-04-08 03:51:04
47654626,A whole boss fight in 256 bytes,Other,74,17.0,HellMood,2026-04-08 03:51:04
47677885,Rescuing old printers with an in-browser Linux VM bridged to WebUSB over USB/IP,Other,160,72.0,gmac,2026-04-08 03:51:04
47658104,The Image Boards of Hayao Miyazaki,Other,128,13.0,vinhnx,2026-04-08 03:51:04
47681274,Bitcoin and quantum computing,Other,117,76.0,nehan,2026-04-08 03:51:04
47675213,Google open-sources experimental agent orchestration testbed Scion,Other,167,47.0,timbilt,2026-04-08 03:51:04
47675893,A blind man made it possible for others with low vision to build Lego sets,Other,60,5.0,speckx,2026-04-08 03:51:04
47681361,Move Detroit,Other,45,62.0,rmason,2026-04-08 03:51:04
47675372,Has electricity decoupled from natural gas prices in Germany?,Other,93,130.0,konschubert,2026-04-08 03:51:04
47671219,John Coltrane illustrates the mathematics of jazz,Other,108,14.0,luu,2026-04-08 03:51:04
47675302,9 Mothers (YC P26) Is Hiring – Lead Robotics and More,Other,1,,ukd1,2026-04-08 03:51:04
47679155,Assessing Claude Mythos Preview's cybersecurity capabilities,Other,272,40.0,sweis,2026-04-08 03:51:04
47659135,Sam Altman may control our future – can he be trusted?,Other,1988,831.0,adrianhon,2026-04-08 03:51:04
